Code Project,Sub Project Code,SAP Code,Color,Qty,UM,Price
OFR17566-1,Windows,222322,RAL9001,1.667,m,73.942
OFR17566-1,Windows,222322,RAL9001,1.142,m,73.942
OFR17566-1,Windows,222322,RAL9001,1.667,m,73.942
OFR17566-1,Windows,222322,RAL9001,1.142,m,73.942
OFR17566-1,Windows,222326,RAL9001,1.525,m,73.942
OFR17566-1,Windows,222326,RAL9001,1,m,73.942
OFR17566-1,Windows,222326,RAL9001,1.525,m,73.942
OFR17566-1,Windows,222326,RAL9001,1,m,73.942
OFR17566-1,Windows,193055,RAL9001,1.07,M2,0
OFR17566-1,Windows,222328,RAL9001,1.39,m,73.942
OFR17566-1,Windows,222328,RAL9001,0.865,m,73.942
OFR17566-1,Windows,222328,RAL9001,1.39,m,73.942
OFR17566-1,Windows,222328,RAL9001,0.865,m,73.942
OFR17566-1,Windows,229767,RAL9001,1,EA,73.942
OFR17566-1,Windows,222237,RAL9001,4.256,m,73.942
OFR17566-1,Windows,222232,RAL9001,4.256,m,73.942
OFR17566-1,Windows,142925,RAL9001,0.232,kg,73.942
OFR17566-1,Windows,142925,RAL9001,0.373,kg,73.942
OFR17566-1,Windows,142925,RAL9001,0.232,kg,73.942
OFR17566-1,Windows,142925,RAL9001,0.373,kg,73.942
OFR17566-1,Windows,223575,RAL9001,1,EA,73.942
OFR17566-1,Windows,223597,RAL9001,3,EA,73.942
OFR17566-1,Windows,223604,RAL9001,1.417,m,73.942
OFR17566-1,Windows,222227,RAL9001,4,EA,73.942
OFR17566-1,Windows,142925,RAL9001,1.532,kg,73.942
OFR17566-1,Windows,222229,RAL9001,1.904,m,73.942
OFR17566-1,Windows,222228,RAL9001,0.952,m,73.942
OFR17566-1,Windows,142925,RAL9001,2.336,kg,73.942
OFR17566-1,Windows,222229,RAL9001,2.904,m,73.942
OFR17566-1,Windows,222228,RAL9001,1.452,m,73.942
OFR17566-1,Windows,142925,RAL9001,1.532,kg,73.942
OFR17566-1,Windows,222229,RAL9001,1.904,m,73.942
OFR17566-1,Windows,222228,RAL9001,0.952,m,73.942
OFR17566-1,Windows,142925,RAL9001,2.336,kg,73.942
OFR17566-1,Windows,222229,RAL9001,2.904,m,73.942
OFR17566-1,Windows,222228,RAL9001,1.452,m,73.942
OFR17566-1,Windows,222349,RAL9001,0.05,m,73.942
OFR17566-1,Windows,222225,RAL9001,1,EA,73.942
OFR17566-1,Windows,222349,RAL9001,0.05,m,73.942
OFR17566-1,Windows,222225,RAL9001,1,EA,73.942
OFR17566-1,Windows,222349,RAL9001,0.05,m,73.942
OFR17566-1,Windows,222225,RAL9001,1,EA,73.942
OFR17566-1,Windows,222349,RAL9001,0.05,m,73.942
OFR17566-1,Windows,222225,RAL9001,1,EA,73.942
OFR17566-1,Windows,223636,RAL9001,2,EA,73.942
OFR17566-1,Windows,142925,RAL9001,2.212,kg,73.942
OFR17566-1,Windows,142925,RAL9001,3.228,kg,73.942
OFR17566-1,Windows,142925,RAL9001,2.212,kg,73.942
OFR17566-1,Windows,142925,RAL9001,3.228,kg,73.942
OFR17566-1,Windows,222225,RAL9001,2,EA,73.942
OFR17566-1,Windows,222225,RAL9001,2,EA,73.942
OFR17566-1,Windows,222225,RAL9001,2,EA,73.942
OFR17566-1,Windows,222225,RAL9001,2,EA,73.942
OFR17566-2,Windows,222322,RAL7047,1.667,m,73.942
OFR17566-2,Windows,222322,RAL7047,1.142,m,73.942
OFR17566-2,Windows,222322,RAL7047,1.667,m,73.942
OFR17566-2,Windows,222322,RAL7047,1.142,m,73.942
OFR17566-2,Windows,222326,RAL7047,1.525,m,73.942
OFR17566-2,Windows,222326,RAL7047,1,m,73.942
OFR17566-2,Windows,222326,RAL7047,1.525,m,73.942
OFR17566-2,Windows,222326,RAL7047,1,m,73.942
OFR17566-2,Windows,193055,RAL7047,1.07,M2,0
OFR17566-2,Windows,222328,RAL7047,1.39,m,73.942
OFR17566-2,Windows,222328,RAL7047,0.865,m,73.942
OFR17566-2,Windows,222328,RAL7047,1.39,m,73.942
OFR17566-2,Windows,222328,RAL7047,0.865,m,73.942
OFR17566-2,Windows,229767,RAL7047,1,EA,73.942
OFR17566-2,Windows,222237,RAL7047,4.256,m,73.942
OFR17566-2,Windows,222232,RAL7047,4.256,m,73.942
OFR17566-2,Windows,142925,RAL7047,0.232,kg,73.942
OFR17566-2,Windows,142925,RAL7047,0.373,kg,73.942
OFR17566-2,Windows,142925,RAL7047,0.232,kg,73.942
OFR17566-2,Windows,142925,RAL7047,0.373,kg,73.942
OFR17566-2,Windows,223575,RAL7047,1,EA,73.942
OFR17566-2,Windows,223597,RAL7047,3,EA,73.942
OFR17566-2,Windows,223604,RAL7047,1.417,m,73.942
OFR17566-2,Windows,222227,RAL7047,4,EA,73.942
OFR17566-2,Windows,142925,RAL7047,1.532,kg,73.942
OFR17566-2,Windows,222229,RAL7047,1.904,m,73.942
OFR17566-2,Windows,222228,RAL7047,0.952,m,73.942
OFR17566-2,Windows,142925,RAL7047,2.336,kg,73.942
OFR17566-2,Windows,222229,RAL7047,2.904,m,73.942
OFR17566-2,Windows,222228,RAL7047,1.452,m,73.942
OFR17566-2,Windows,142925,RAL7047,1.532,kg,73.942
OFR17566-2,Windows,222229,RAL7047,1.904,m,73.942
OFR17566-2,Windows,222228,RAL7047,0.952,m,73.942
OFR17566-2,Windows,142925,RAL7047,2.336,kg,73.942
OFR17566-2,Windows,222229,RAL7047,2.904,m,73.942
OFR17566-2,Windows,222228,RAL7047,1.452,m,73.942
OFR17566-2,Windows,222349,RAL7047,0.05,m,73.942
OFR17566-2,Windows,222225,RAL7047,1,EA,73.942
OFR17566-2,Windows,222349,RAL7047,0.05,m,73.942
OFR17566-2,Windows,222225,RAL7047,1,EA,73.942
OFR17566-2,Windows,222349,RAL7047,0.05,m,73.942
OFR17566-2,Windows,222225,RAL7047,1,EA,73.942
OFR17566-2,Windows,222349,RAL7047,0.05,m,73.942
OFR17566-2,Windows,222225,RAL7047,1,EA,73.942
OFR17566-2,Windows,223636,RAL7047,2,EA,73.942
OFR17566-2,Windows,142925,RAL7047,2.212,kg,73.942
OFR17566-2,Windows,142925,RAL7047,3.228,kg,73.942
OFR17566-2,Windows,142925,RAL7047,2.212,kg,73.942
OFR17566-2,Windows,142925,RAL7047,3.228,kg,73.942
OFR17566-2,Windows,222225,RAL7047,2,EA,73.942
OFR17566-2,Windows,222225,RAL7047,2,EA,73.942
OFR17566-2,Windows,222225,RAL7047,2,EA,73.942
OFR17566-2,Windows,222225,RAL7047,2,EA,73.942
